"visit_date","utm_source","utm_medium","utm_campaign","visitors_count","total_cost","leads_count","purchase_count","revenue"
"2023-06-01",vk,cpc,prof-frontend,18,,8,0,
"2023-06-01",vk,cpc,freemium-frontend,81,255960,44,5,338083
"2023-06-01",vk,cpc,prof-java,51,158865,23,2,232726
"2023-06-01",vk,cpc,prof-python,73,148044,42,5,355564
"2023-06-01",vk,cpc,base-python,58,147146,36,1,9072
"2023-06-01",vk,cpc,prof-data-analytics,51,54672,32,0,
"2023-06-01",vk,cpc,freemium-python,44,43120,25,1,1560
"2023-06-01",vk,cpc,freemium-java,43,20941,25,0,
"2023-06-01",vk,cpm,prof-data-analytics,10,3850,6,0,
"2023-06-01",vk,cpp,dod-php,3,,0,0,
"2023-06-01",vk,cpp,intensive-python,2,,0,0,
"2023-06-01",vk,social,all-courses,1,,0,0,
"2023-06-01",vk,social,course_completed,1,,0,0,
"2023-06-01",vk,social,general,1,,0,0,
"2023-06-01",vk,social,hexlet-blog,1,,0,0,
"2023-06-01",vk,social,hexlet.io/my,1,,0,0,
"2023-06-01",yandex,cpc,dod-professions,6,,6,1,37800
"2023-06-01",yandex,cpc,dod-python-java,3,,3,0,
"2023-06-01",yandex,cpc,prof-frontend,80,4571040,75,13,1191100
"2023-06-01",yandex,cpc,freemium,107,2316978,104,25,1654810
"2023-06-01",yandex,cpc,prof-python,66,2179716,65,9,831438
"2023-06-01",yandex,cpc,prof-java,52,1533480,52,4,284590
"2023-06-01",yandex,cpc,base-frontend,42,758562,41,3,268515
"2023-06-01",yandex,cpc,base-java,21,404292,21,1,48000
"2023-06-01",yandex,cpc,base-python,32,400768,29,7,476021
"2023-06-01",yandex,cpc,prof-data-analytics,15,151290,15,2,220264
"2023-06-01",yandex,cpc,prof-professions-brand,13,62634,13,3,154287
"2023-06-01",yandex,cpc,dod-php,4,23856,4,1,150255
"2023-06-01",yandex,cpc,prof-professions-retarget,11,18854,11,0,
"2023-06-01",yandex,cpc,dod-java,5,14530,5,0,
"2023-06-01",yandex,cpc,dod-frontend,3,8613,3,0,
"2023-06-01",yandex,cpc,base-professions-retarget,4,604,4,1,134100
"2023-06-02",vk,cpc,freemium,1,,0,0,
"2023-06-02",vk,cpc,prof-frontend,120,,0,0,
"2023-06-02",vk,cpc,prof-data-analytics,178,722680,0,0,
"2023-06-02",vk,cpc,prof-java,216,601128,0,0,
"2023-06-02",vk,cpc,freemium-frontend,207,525366,0,0,
"2023-06-02",vk,cpc,prof-python,240,487680,0,0,
"2023-06-02",vk,cpc,freemium-java,163,413368,0,0,
"2023-06-02",vk,cpc,base-python,133,337288,0,0,
"2023-06-02",vk,cpc,freemium-python,143,248677,0,0,
"2023-06-02",vk,cpm,prof-frontend,4,,0,0,
"2023-06-02",vk,cpm,prof-data-analytics,14,,0,0,
"2023-06-02",vk,cpp,base-frontend,1,,0,0,
"2023-06-02",vk,cpp,dod-php,2,,0,0,
"2023-06-02",vk,social,all-courses,1,,0,0,
"2023-06-02",vk,social,base-python,1,,0,0,
"2023-06-02",vk,social,hexlet-blog,2,,0,0,
"2023-06-03",vk,cpc,prof-frontend,122,,0,0,
"2023-06-03",vk,cpc,prof-data-analytics,172,683528,0,0,
"2023-06-03",vk,cpc,prof-java,198,549252,0,0,
"2023-06-03",vk,cpc,freemium-frontend,211,535729,0,0,
"2023-06-03",vk,cpc,prof-python,204,412692,0,0,
"2023-06-03",vk,cpc,freemium-java,148,393088,0,0,
"2023-06-03",vk,cpc,base-python,101,302697,0,0,
"2023-06-03",vk,cpc,freemium-python,122,169580,0,0,
"2023-06-03",vk,cpm,java,1,,0,0,
"2023-06-03",vk,cpm,prof-data-analytics,12,,0,0,
"2023-06-03",vk,cpm,prof-frontend,3,,0,0,
"2023-06-03",vk,cpp,dod-php,3,,0,0,
"2023-06-03",vk,social,base-frontend,1,,0,0,
"2023-06-03",vk,social,hexlet-blog,2,,0,0,
"2023-06-03",vk,social,promo,1,,0,0,
"2023-06-04",vk,cpc,prof-frontend,113,,0,0,
"2023-06-04",vk,cpc,php,1,,0,0,
"2023-06-04",vk,cpc,freemium-frontend,224,568512,0,0,
"2023-06-04",vk,cpc,prof-data-analytics,132,493680,0,0,
"2023-06-04",vk,cpc,prof-python,213,432816,0,0,
"2023-06-04",vk,cpc,base-python,145,367865,0,0,
"2023-06-04",vk,cpc,prof-java,188,305876,0,0,
"2023-06-04",vk,cpc,freemium-java,150,234900,0,0,
"2023-06-04",vk,cpc,freemium-python,130,169650,0,0,
"2023-06-04",vk,cpm,prof-frontend,11,,0,0,
"2023-06-04",vk,cpm,prof-data-analytics,24,16824,0,0,
"2023-06-04",vk,cpp,dod-php,2,,0,0,
"2023-06-04",vk,social,general,2,,0,0,
"2023-06-04",vk,social,all-courses,1,,0,0,
"2023-06-04",vk,social,course_completed,1,,0,0,
"2023-06-04",vk,social,hexlet-blog,4,,0,0,
"2023-06-04",vk,social,prof-qa,1,,0,0,
"2023-06-05",vk,cpc,prof-frontend,110,,0,0,
"2023-06-05",vk,cpc,prof-python,182,924014,0,0,
"2023-06-05",vk,cpc,freemium-frontend,192,487296,0,0,
"2023-06-05",vk,cpc,prof-data-analytics,154,469392,0,0,
"2023-06-05",vk,cpc,prof-java,191,386202,0,0,
"2023-06-05",vk,cpc,base-python,124,245520,0,0,
"2023-06-05",vk,cpc,freemium-python,138,154284,0,0,
"2023-06-05",vk,cpc,freemium-java,138,54786,0,0,
"2023-06-05",vk,cpm,prof-frontend,3,,0,0,
"2023-06-05",vk,cpm,base,1,,0,0,
"2023-06-05",vk,cpm,prof-data-analytics,23,17503,0,0,
"2023-06-05",vk,cpp,dod-frontend,1,,0,0,
"2023-06-05",vk,cpp,dod-php,5,,1,0,
"2023-06-05",vk,social,all-courses,2,,0,0,
"2023-06-05",vk,social,base-frontend,1,,0,0,
"2023-06-05",vk,social,base-java,3,,0,0,
"2023-06-05",vk,social,base-python,4,,0,0,
"2023-06-05",vk,social,dod-php,1,,0,0,
"2023-06-05",vk,social,hexlet-blog,1,,0,0,
"2023-06-05",vk,social,planiruy-uchebu--fokusiruysya-na-protsesse,1,,0,0,
"2023-06-05",vk,social,prof-frontend,1,,0,0,
"2023-06-06",vk,cpc,freemium,3,,0,0,
"2023-06-06",vk,cpc,prof-frontend,111,,0,0,
"2023-06-06",vk,cpc,prof-python,185,939430,0,0,
"2023-06-06",vk,cpc,freemium-frontend,171,572508,0,0,
"2023-06-06",vk,cpc,prof-data-analytics,135,410940,0,0,
"2023-06-06",vk,cpc,base-python,121,399421,0,0,
"2023-06-06",vk,cpc,freemium-java,139,266324,0,0,
"2023-06-06",vk,cpc,freemium-python,105,194670,0,0,
"2023-06-06",vk,cpc,prof-java,159,180783,0,0,
"2023-06-06",vk,cpm,prof-data-analytics,13,9867,0,0,
"2023-06-06",vk,cpp,dod-php,4,,0,0,
"2023-06-06",vk,cpp,base-frontend,5,,0,0,
"2023-06-06",vk,social,kak-dzhunu-napisat-soprovoditelnoe-pis,1,,0,0,
"2023-06-06",vk,social,prof-frontend,3,,0,0,
"2023-06-06",vk,social,prof-rails,1,,0,0,
"2023-06-06",vk,social,all-courses,2,,0,0,
"2023-06-06",vk,social,base-java,4,,0,0,
"2023-06-06",vk,social,base-python,1,,0,0,
"2023-06-06",vk,social,dod-frontend,1,,0,0,
"2023-06-06",vk,social,dod-php,1,,0,0,
"2023-06-06",vk,social,dod-professions,1,,0,0,
"2023-06-06",vk,social,general,3,,0,0,
"2023-06-06",vk,social,hexlet-blog,1,,1,0,
"2023-06-06",vk,social,hexlet.io/my,1,,0,0,
"2023-06-07",vk,cpc,frontend,1,,0,0,
"2023-06-07",vk,cpc,prof-frontend,94,,0,0,
"2023-06-07",vk,cpc,prof-python,190,965010,0,0,
"2023-06-07",vk,cpc,freemium-frontend,169,428415,0,0,
"2023-06-07",vk,cpc,prof-data-analytics,110,335280,0,0,
"2023-06-07",vk,cpc,freemium-python,111,323676,0,0,
"2023-06-07",vk,cpc,freemium-java,113,286116,0,0,
"2023-06-07",vk,cpc,base-python,107,269212,0,0,
"2023-06-07",vk,cpc,prof-java,166,186916,0,0,
"2023-06-07",vk,cpm,prof-frontend,1,,0,0,
"2023-06-07",vk,cpm,prof-data-analytics,12,9144,0,0,
"2023-06-07",vk,cpp,base-frontend,9,,0,0,
"2023-06-07",vk,social,hexlet-blog,3,,1,1,84000
"2023-06-07",vk,social,prof-frontend,1,,0,0,
"2023-06-07",vk,social,all-courses,1,,0,0,
"2023-06-07",vk,social,base-java,2,,0,0,
"2023-06-07",vk,social,base-python,7,,0,0,
"2023-06-07",vk,social,general,2,,0,0,
"2023-06-07",vk,social,prof-python,2,,0,0,
"2023-06-08",vk,cpc,php,1,,0,0,
"2023-06-08",vk,cpc,prof-python,188,954288,0,0,
"2023-06-08",vk,cpc,freemium-frontend,193,496975,0,0,
"2023-06-08",vk,cpc,prof-data-analytics,135,406755,0,0,
"2023-06-08",vk,cpc,freemium-java,124,313844,0,0,
"2023-06-08",vk,cpc,prof-java,172,274168,0,0,
"2023-06-08",vk,cpc,freemium-python,108,273456,0,0,
"2023-06-08",vk,cpc,base-python,111,111999,0,0,
"2023-06-08",vk,cpc,prof-frontend,117,69264,0,0,
"2023-06-08",vk,cpm,php,1,,0,0,
"2023-06-08",vk,cpm,prof-data-analytics,17,12954,0,0,
"2023-06-08",vk,cpm,prof-frontend,3,0,0,0,
"2023-06-08",vk,cpp,base-frontend,15,,0,0,
"2023-06-08",vk,cpp,dod-career,1,,0,0,
"2023-06-08",vk,cpp,intensive-python,1,,0,0,
"2023-06-08",vk,social,general,3,,0,0,
"2023-06-08",vk,social,base-java,1,,0,0,
"2023-06-08",vk,social,hexlet-blog,3,,0,0,
"2023-06-08",vk,social,prof-data-analytics,1,,0,0,
"2023-06-09",vk,cpc,base-python,105,,0,0,
"2023-06-09",vk,cpc,prof-python,182,924014,0,0,
"2023-06-09",vk,cpc,prof-java,161,742210,0,0,
"2023-06-09",vk,cpc,prof-data-analytics,160,720320,0,0,
"2023-06-09",vk,cpc,prof-frontend,112,568624,1,0,
"2023-06-09",vk,cpc,freemium-frontend,181,458654,0,0,
"2023-06-09",vk,cpc,freemium-python,120,303960,0,0,
"2023-06-09",vk,cpc,freemium-java,108,273564,0,0,
"2023-06-09",vk,cpm,prof-frontend,5,,0,0,
"2023-06-09",vk,cpm,prof-data-analytics,11,704,0,0,
"2023-06-09",vk,cpp,base-frontend,7,,0,0,
"2023-06-09",vk,social,all-courses,2,,0,0,
"2023-06-09",vk,social,base-frontend,2,,0,0,
"2023-06-09",vk,social,base-python,2,,0,0,
"2023-06-09",vk,social,dod-frontend,1,,0,0,
"2023-06-09",vk,social,dod-php,1,,0,0,
"2023-06-10",vk,cpc,freemium,1,,0,0,
"2023-06-10",vk,cpc,base-python,119,,0,0,
"2023-06-10",vk,cpc,frontend,1,,0,0,
"2023-06-10",vk,cpc,yaintern,1,,0,0,
"2023-06-10",vk,cpc,prof-python,163,889654,0,0,
"2023-06-10",vk,cpc,prof-java,150,561450,0,0,
"2023-06-10",vk,cpc,prof-data-analytics,130,548600,0,0,
"2023-06-10",vk,cpc,prof-frontend,96,523968,0,0,
"2023-06-10",vk,cpc,freemium-frontend,155,393080,0,0,
"2023-06-10",vk,cpc,freemium-python,143,362648,0,0,
"2023-06-10",vk,cpc,freemium-java,107,271459,0,0,
"2023-06-10",vk,cpm,prof-data-analytics,12,,0,0,
"2023-06-10",vk,cpm,base,2,,0,0,
"2023-06-10",vk,cpm,prof-frontend,5,,0,0,
